"","L","R","L","R","L","R"
"SB_LR_Split_All",5999,21954,1096,4920,7095,26874
"SB_LR_Split_MLB",1125,3736,158,614,1283,4350
"SB_LR_Split_TRIPLEA",1197,3893,223,886,1420,4779
"SB_LR_Split_DOUBLEA",1153,4205,238,968,1391,5173
"SB_LR_Split_HIGHA",1322,5006,262,1184,1584,6190
"SB_LR_Split_A",926,4015,164,972,1090,4987
"SB_LR_Split_LOWA",276,1099,51,296,327,1395
"SB_LR_Split_All_19",3320,12414,653,3143,3973,15557
"SB_LR_Split_MLB_19",490,1545,62,267,552,1812
"SB_LR_Split_TRIPLEA_19",754,2583,165,655,919,3238
"SB_LR_Split_DOUBLEA_19",616,2297,128,576,744,2873
"SB_LR_Split_HIGHA_19",593,2360,132,663,725,3023
"SB_LR_Split_A_19",591,2530,115,686,706,3216
"SB_LR_Split_LOWA_19",276,1099,51,296,327,1395
"SB_LR_Split_MLB_20",178,679,21,110,199,789
"SB_LR_Split_All_21",2501,8861,422,1667,2923,10528
"SB_LR_Split_MLB_21",457,1512,75,237,532,1749
"SB_LR_Split_TRIPLEA_21",443,1310,58,231,501,1541
"SB_LR_Split_DOUBLEA_21",537,1908,110,392,647,2300
"SB_LR_Split_HIGHA_21",729,2646,130,521,859,3167
"SB_LR_Split_A_21",335,1485,49,286,384,1771
