"","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE"
"SB_WL_Split_All",10431,16667,2564,3256,12995,19923
"SB_WL_Split_MLB",1834,2907,339,415,2173,3322
"SB_WL_Split_TRIPLEA",1878,3066,491,586,2369,3652
"SB_WL_Split_DOUBLEA",2000,3164,516,650,2516,3814
"SB_WL_Split_HIGHA",2351,3773,596,788,2947,4561
"SB_WL_Split_A",1858,2935,479,623,2337,3558
"SB_WL_Split_LOWA",510,822,143,194,653,1016
"SB_WL_Split_All_19",5855,9406,1629,2050,7484,11456
"SB_WL_Split_MLB_19",781,1223,139,184,920,1407
"SB_WL_Split_TRIPLEA_19",1203,2044,371,429,1574,2473
"SB_WL_Split_DOUBLEA_19",1110,1699,317,367,1427,2066
"SB_WL_Split_HIGHA_19",1083,1769,319,435,1402,2204
"SB_WL_Split_A_19",1168,1849,340,441,1508,2290
"SB_WL_Split_LOWA_19",510,822,143,194,653,1016
"SB_WL_Split_MLB_20",301,506,61,65,362,571
"SB_WL_Split_All_21",4275,6755,874,1141,5149,7896
"SB_WL_Split_MLB_21",752,1178,139,166,891,1344
"SB_WL_Split_TRIPLEA_21",675,1022,120,157,795,1179
"SB_WL_Split_DOUBLEA_21",890,1465,199,283,1089,1748
"SB_WL_Split_HIGHA_21",1268,2004,277,353,1545,2357
"SB_WL_Split_A_21",690,1086,139,182,829,1268
